District,Season,Variable,Mean,Standard_Deviation
Bogura,Winter,Humidity,74.09307189542484,3.0709396928220345
Bogura,Winter,Rainfall,29.41176470588235,30.830618852425413
Bogura,Winter,Temperature,19.72372549019608,0.5973797032071995
Bogura,Winter,WindSpeed,0.8847712418300654,0.4453758736677548
Bogura,Pre-monsoon,Humidity,70.61117647058823,4.565016676300533
Bogura,Pre-monsoon,Rainfall,324.6862745098039,128.9229987544625
Bogura,Pre-monsoon,Temperature,27.452418300653594,0.714027101393956
Bogura,Pre-monsoon,WindSpeed,1.5240522875816993,0.3792339141687798
Bogura,Monsoon,Humidity,84.7078431372549,1.9166217036499296
Bogura,Monsoon,Rainfall,1252.0588235294117,326.7970876103216
Bogura,Monsoon,Temperature,29.3175,0.5030986483782282
Bogura,Monsoon,WindSpeed,1.4204901960784313,0.4063209998289047
Bogura,Post-monsoon,Humidity,78.98931372549019,2.3865757938116787
Bogura,Post-monsoon,Rainfall,151.41176470588235,112.37814315436756
Bogura,Post-monsoon,Temperature,26.015686274509804,0.5614641748213709
Bogura,Post-monsoon,WindSpeed,0.7694117647058824,0.454170284209374
Natore,Winter,Humidity,74.68,4.189405049248242
Natore,Winter,Rainfall,32.26627450980392,30.694247927635192
Natore,Winter,Temperature,19.167320261437908,0.5806911665737813
Natore,Winter,WindSpeed,0.9745032679738562,0.416913624800944
Natore,Pre-monsoon,Humidity,68.43483660130718,5.061594272941876
Natore,Pre-monsoon,Rainfall,268.7760784313725,93.32244441887346
Natore,Pre-monsoon,Temperature,28.03320261437909,0.7224415272868694
Natore,Pre-monsoon,WindSpeed,1.740562091503268,0.5382235780383715
Natore,Monsoon,Humidity,85.01696078431372,1.4112334422169042
Natore,Monsoon,Rainfall,1103.08,246.72997085072575
Natore,Monsoon,Temperature,29.5043137254902,0.5529100465788654
Natore,Monsoon,WindSpeed,1.6767254901960784,0.5182515659766548
Natore,Post-monsoon,Humidity,79.78686274509803,2.7818443451753927
Natore,Post-monsoon,Rainfall,134.2019607843137,80.95026967267269
Natore,Post-monsoon,Temperature,25.615686274509805,0.5388914729403718
Natore,Post-monsoon,WindSpeed,0.8677549019607843,0.4377714514738143
Pabna,Winter,Humidity,74.16941176470588,5.006220561833596
Pabna,Winter,Rainfall,34.8235294117647,33.22451256668963
Pabna,Winter,Temperature,18.916928104575163,0.5829548650861992
Pabna,Winter,WindSpeed,0.975359477124183,0.4912989940199903
Pabna,Pre-monsoon,Humidity,67.75686274509803,5.634736094057396
Pabna,Pre-monsoon,Rainfall,293.9803921568628,138.67234622607037
Pabna,Pre-monsoon,Temperature,28.10307189542484,0.827660113583201
Pabna,Pre-monsoon,WindSpeed,1.865032679738562,0.7234437312217231
Pabna,Monsoon,Humidity,84.38857843137255,1.8661739773465635
Pabna,Monsoon,Rainfall,1094.2941176470588,309.74636683051807
Pabna,Monsoon,Temperature,29.438823529411764,0.5434432704848724
Pabna,Monsoon,WindSpeed,1.814656862745098,0.7568541833814231
Pabna,Post-monsoon,Humidity,79.57794117647059,2.868514628944846
Pabna,Post-monsoon,Rainfall,134.49019607843138,101.23781359729568
Pabna,Post-monsoon,Temperature,25.466078431372548,0.541185101167327
Pabna,Post-monsoon,WindSpeed,0.8759803921568627,0.5258735775905109
Rajshahi,Winter,Humidity,75.20098039215686,4.423098174815057
Rajshahi,Winter,Rainfall,32.0,34.16430886173464
Rajshahi,Winter,Temperature,19.081764705882357,0.6347805755416334
Rajshahi,Winter,WindSpeed,1.0150980392156863,0.4406829815140113
Rajshahi,Pre-monsoon,Humidity,67.9307843137255,5.320275748419031
Rajshahi,Pre-monsoon,Rainfall,232.1372549019608,97.73515633749058
Rajshahi,Pre-monsoon,Temperature,28.228169934640523,0.7293145377607024
Rajshahi,Pre-monsoon,WindSpeed,1.6260130718954249,0.6469693517068102
Rajshahi,Monsoon,Humidity,85.49186274509803,1.4791385029077966
Rajshahi,Monsoon,Rainfall,1047.7058823529412,269.41338453147773
Rajshahi,Monsoon,Temperature,29.615882352941178,0.6005728148046272
Rajshahi,Monsoon,WindSpeed,1.5574509803921568,0.6211780119651851
Rajshahi,Post-monsoon,Humidity,80.22519607843137,3.418052656233417
Rajshahi,Post-monsoon,Rainfall,127.07843137254902,80.56297986972798
Rajshahi,Post-monsoon,Temperature,25.53705882352941,0.5872862815276616
Rajshahi,Post-monsoon,WindSpeed,0.8997058823529411,0.4483931441990453
